timestamp;ID;Angle;EMG;ECG
0.241;ESQ;324.85;650;0
0.241;DIR;31.42;0;1874
0.241;ESQ;324.85;2826;0
0.241;ESQ;324.86;0;0
0.241;ESQ;324.86;2100;0
0.241;DIR;31.42;0;1786
0.241;DIR;31.42;0;2314
0.241;DIR;31.42;0;1491
0.241;ESQ;324.86;159;0
0.241;DIR;31.42;0;2087
0.241;ESQ;324.86;98;0
0.241;DIR;31.41;0;2096
0.241;ESQ;324.87;3871;0
0.241;ESQ;324.86;0;0
0.241;DIR;31.42;0;1575
0.241;DIR;31.43;0;2303
0.241;ESQ;324.86;931;0
0.241;ESQ;324.87;1899;0
0.241;DIR;31.43;0;1710
0.241;DIR;31.42;0;1823
0.241;ESQ;324.87;0;0
0.241;DIR;31.42;0;2155
0.241;ESQ;324.87;2931;0
0.241;ESQ;324.86;0;0
0.241;DIR;31.42;0;1327
0.241;DIR;31.43;0;2062
0.241;ESQ;324.85;182;0
0.241;DIR;31.42;0;1845
0.241;ESQ;324.86;3534;0
0.241;DIR;31.42;0;1459
0.241;DIR;31.42;0;2174
0.241;ESQ;324.85;0;0
0.241;ESQ;324.85;1302;0
0.241;DIR;31.43;0;1443
0.241;ESQ;324.85;1328;0
0.241;DIR;31.42;0;1790
0.241;ESQ;324.85;0;0
0.241;ESQ;324.85;3435;0
0.241;DIR;31.42;0;2009
0.241;DIR;31.41;0;1269
0.241;ESQ;324.85;0;0
0.241;ESQ;324.84;560;0
0.241;DIR;31.41;0;1926
0.241;DIR;31.42;0;1595
0.241;ESQ;324.84;3052;0
0.241;ESQ;324.84;0;0
0.241;DIR;31.42;0;1470
0.241;ESQ;324.83;1847;0
0.241;DIR;31.42;0;2070
0.241;ESQ;324.83;578;0
0.241;DIR;31.42;0;1264
0.241;ESQ;324.83;31;0
0.241;DIR;31.43;0;1809
0.241;ESQ;324.82;3583;0
0.241;DIR;31.44;0;1818
0.241;DIR;31.45;0;1223
0.241;ESQ;324.82;0;0
0.241;ESQ;324.82;797;0
0.241;DIR;31.45;0;2031
0.241;ESQ;324.81;2502;0
0.241;DIR;31.45;0;1501
0.241;ESQ;324.81;0;0
0.241;DIR;31.44;0;1535
0.241;ESQ;324.82;2491;0
0.241;DIR;31.44;0;2031
0.241;ESQ;324.82;0;0
0.241;DIR;31.43;0;1236
0.241;ESQ;324.82;74;0
0.241;DIR;31.42;0;1882
0.241;ESQ;324.82;3728;0
0.241;DIR;31.42;0;1840
0.241;ESQ;324.82;0;0
0.241;DIR;31.42;0;1299
0.241;ESQ;324.83;1072;0
0.241;DIR;31.42;0;2001
0.241;ESQ;324.83;1714;0
0.241;DIR;31.43;0;1328
0.507;ESQ;324.83;0;0
0.507;DIR;31.43;0;1571
0.507;ESQ;324.83;3111;0
0.507;DIR;31.43;0;1956
0.507;ESQ;324.83;0;0
