timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
574;270;285;27.88
574;0;289;27.86
574;394;293;27.85
574;174;295;27.85
574;209;311;27.85
574;798;364;27.85
574;359;336;27.85
574;59;306;27.87
582;1078;378;27.89
582;305;327;27.9
582;87;302;27.9
584;924;304;27.89
584;80;273;27.88
584;79;302;27.88
584;474;288;27.88
584;149;302;27.89
584;123;304;27.9
584;787;367;27.9
584;325;335;27.89
591;249;311;27.87
591;825;351;27.87
591;235;309;27.88
591;140;301;27.9
591;581;288;27.92
591;46;282;27.94
591;265;305;27.94
591;410;292;27.91
591;18;291;27.89
591;125;321;27.88
591;1055;397;27.87
591;93;305;27.85
599;463;363;27.82
600;944;362;27.78
600;112;298;27.75
600;537;371;27.75
600;629;297;27.76
600;59;307;27.78
600;545;362;27.81
600;501;304;27.82
600;0;284;27.84
600;608;357;27.84
600;640;320;27.83
607;27;298;27.82
607;656;368;27.81
607;348;299;27.83
607;128;310;27.87
607;652;346;27.91
607;426;272;27.94
607;170;310;27.96
607;371;294;27.98
607;432;306;27.98
607;272;321;27.98
607;779;378;27.97
607;577;342;27.95
615;54;310;27.94
1157;732;371;27.95
1157;524;318;27.96
1157;401;331;27.97
1157;394;285;27.98
1157;254;288;27.97
1157;331;325;27.96
1162;434;326;27.94
1162;289;317;27.92
1162;262;313;27.92
1162;724;390;27.93
1162;496;321;27.94
1164;153;293;27.94
1164;569;313;27.94
1164;182;283;27.95
1164;84;298;27.96
1164;221;295;27.95
1164;75;279;27.94
1164;208;320;27.92
1164;538;367;27.9
1164;368;317;27.9
1164;433;368;27.91
1164;629;367;27.92
1164;260;292;27.92
1164;685;355;27.92
1170;553;308;27.91
1170;11;271;27.9
1170;673;349;27.87
1170;501;318;27.83
1172;0;286;27.8
1172;711;349;27.74
1172;553;332;27.7
1172;119;289;27.66
1172;764;371;27.63
1172;491;318;27.6
1172;58;298;27.57
1172;973;354;27.55
1172;207;273;27.53
1172;0;285;27.52
1172;541;298;27.51
1172;278;288;27.49
1172;113;310;27.47
1178;694;344;27.42
1178;365;336;27.37
1178;38;304;27.32
1179;978;378;27.29
1179;304;315;27.3
1179;71;304;27.33
1179;894;307;27.32
1179;115;282;27.29
1179;64;304;27.25
1179;688;304;27.22
1213;0;288;27.2
1213;31;295;27.17
1213;694;359;27.16
1586;201;322;27.15
1589;208;313;27.14
1589;931;377;27.13
1590;243;309;27.15
1590;79;299;27.17
1591;674;295;27.21
1591;0;294;27.25
1593;107;302;27.3
1593;535;298;27.37
1593;0;282;27.43
1595;149;317;27.49
1595;835;363;27.56
1595;67;301;27.64
1595;361;346;27.72
1595;892;367;27.79
1597;34;291;27.83
1597;433;358;27.87
1597;681;304;27.92
1599;102;321;27.98
1599;322;336;28.05
1599;546;303;28.1
1601;110;305;28.17
1601;480;343;28.22
1601;666;336;28.27
1601;64;295;28.34
1603;387;350;28.39
1603;495;314;28.44
1603;27;309;28.47
1605;756;379;28.48
1605;379;299;28.49
1606;119;307;28.54
1606;391;295;28.62
1606;263;279;28.7
1606;56;308;28.79
1608;368;308;28.9
1922;283;304;28.98
1922;148;316;29.05
1924;651;381;29.1
1924;325;314;29.16
1926;258;311;29.23
1926;672;355;29.3
1927;297;288;29.36
1927;208;305;29.41
1927;302;272;29.46
1927;144;277;29.5
1927;190;304;29.54
1929;257;303;29.59
1929;237;314;29.63
1929;130;299;29.65
1929;539;359;29.65
1931;213;318;29.66
1931;189;304;29.67
1931;566;337;29.68
1931;192;289;29.69
1931;126;301;29.71
1931;261;275;29.71
1934;0;274;29.72
1934;187;304;29.73
1934;226;310;29.74
1934;55;294;29.76
1936;200;315;29.8
1937;457;367;29.84
1937;208;308;29.88
1938;458;351;29.9
1938;618;352;29.91
1976;59;288;29.92
1978;499;340;29.92
2021;21;292;29.93
2023;489;330;29.93
2023;172;300;29.91
2023;0;283;29.89
2063;543;333;29.86
2064;322;323;29.82
2064;12;293;29.79
2064;624;351;29.75
2114;439;325;29.72
2114;0;292;29.69
2114;855;371;29.64
2116;251;292;29.6
2155;12;288;29.57
2155;586;303;29.55
2155;149;265;29.52
2155;15;298;29.48
2201;368;291;29.43
2203;48;301;29.38
2203;51;298;29.32
2203;845;368;29.26
2244;267;330;29.2
2244;80;308;29.16
2246;752;361;29.12
2246;190;306;29.07
2325;35;297;29.01
2325;665;305;28.97
2325;64;275;28.94
2325;7;294;28.92
2331;371;298;28.89
2331;58;303;28.87
2331;115;299;28.84
2331;576;351;28.79
2406;202;320;28.75
2412;42;306;28.71
2414;767;351;28.68
2416;197;308;28.65
2416;48;301;28.61
2418;446;279;28.57
2421;0;282;28.52
2421;43;298;28.48
2496;336;290;28.44
2496;0;283;28.4
2496;122;308;28.38
2496;624;359;28.35
2496;86;304;28.35
2503;247;343;28.33
2503;810;350;28.32
2577;0;294;28.32
2579;337;338;28.32
2581;450;294;28.33
2581;36;295;28.33
2583;399;336;28.33
2583;414;304;28.32
2585;78;304;28.31
2587;430;336;28.3
2664;629;330;28.31
2664;33;291;28.32
2668;421;351;28.33
2670;438;316;28.34
2673;30;309;28.35
2673;673;362;28.37
2676;355;301;28.4
2676;84;304;28.42
2759;386;304;28.46
2761;206;281;28.5
2761;16;297;28.54
2761;325;317;28.56
2761;191;302;28.57
2761;141;307;28.58
2765;602;379;28.59
2765;420;321;28.61
2849;167;315;28.62
2849;555;355;28.64
2855;151;300;28.66
2857;251;320;28.69
2859;343;299;28.7
2859;162;286;28.71
2861;277;315;28.72
2861;237;286;28.73
2934;138;298;28.74
2936;223;307;28.77
2936;640;359;28.79
2940;240;316;28.82
2941;209;302;28.83
2941;592;368;28.85
2941;467;316;28.88
2941;174;304;28.92
3084;405;302;28.95
3084;117;276;28.99
3088;144;301;29.02
3090;278;286;29.05
3091;84;285;29.07
3093;34;307;29.08
3093;333;330;29.1
3096;128;303;29.12
3096;330;326;29.15
3096;663;371;29.18
3102;205;301;29.21
3105;503;357;29.23
3110;400;316;29.25
3111;66;273;29.26
3112;503;339;29.26
3232;304;304;29.28
3232;0;279;29.3
3234;540;336;29.31
3236;450;336;29.32
3238;79;303;29.3
3240;606;349;29.28
3242;300;314;29.26
3244;0;297;29.26
3244;976;384;29.25
3246;306;299;29.25
3246;1;288;29.24
3248;688;314;29.22
3867;122;272;29.19
3867;0;300;29.15
3867;528;299;29.12
