timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
254;80;1873;190.46
254;143;1961;190.5
254;37;1900;190.55
255;135;1915;190.57
255;160;1971;190.59
255;30;1939;190.6
256;178;1958;190.59
256;208;2021;190.55
256;25;2000;190.51
257;19;1987;190.48
257;45;2041;190.49
257;112;1999;190.54
257;33;1989;190.61
258;52;2032;190.71
258;17;2017;190.79
258;80;1975;190.84
259;132;2032;190.87
259;20;2006;190.87
259;43;1937;190.88
259;189;2032;190.9
260;48;2009;190.91
260;35;1971;190.92
260;29;2025;190.93
482;23;2041;190.95
483;37;1974;190.97
483;47;1984;190.96
483;134;2030;190.9
483;50;1942;190.86
484;59;1968;190.81
484;99;2000;190.77
484;87;1892;190.73
484;19;1937;190.71
485;21;1954;190.75
485;91;1915;190.83
485;161;1906;190.94
486;105;1952;191.06
486;70;1877;191.16
486;27;1863;191.23
486;36;1894;191.3
487;86;1853;191.4
487;80;1855;191.52
487;193;1905;191.66
487;114;1845;191.74
505;45;1852;191.75
505;100;1910;191.72
706;47;1805;191.65
707;48;1787;191.54
707;93;1818;191.44
707;77;1765;191.33
707;16;1744;191.26
708;96;1784;191.25
708;64;1744;191.28
708;86;1723;191.36
708;82;1791;191.48
710;23;1739;191.58
710;64;1709;191.65
710;48;1767;191.69
711;52;1731;191.68
711;34;1726;191.63
711;52;1810;191.55
712;22;1803;191.48
712;50;1787;191.43
712;47;1818;191.41
898;119;1822;191.44
898;50;1775;191.51
899;33;1810;191.63
899;46;1824;191.75
899;97;1761;191.85
899;17;1808;191.91
900;48;1827;191.95
900;38;1729;191.98
900;39;1792;192.01
901;44;1778;192.0
901;163;1713;192.0
901;49;1722;192.0
901;21;1727;192.01
902;193;1691;192.02
902;50;1683;192.02
902;25;1698;191.99
903;141;1664;191.98
927;81;1680;191.98
927;44;1739;191.99
928;68;1685;192.02
952;107;1683;192.05
952;237;1755;192.08
979;26;1725;192.09
980;51;1723;192.05
1014;67;1777;191.97
1015;28;1722;191.92
1015;48;1690;191.91
1046;67;1743;191.94
1046;31;1677;192.03
1047;42;1648;192.11
1077;154;1706;192.23
1077;17;1648;192.44
1077;25;1632;192.66
1109;48;1696;192.85
1109;237;1695;193.0
1109;17;1660;193.11
1139;37;1712;193.19
1140;31;1695;193.27
1171;78;1677;193.35
1171;144;1745;193.41
1171;42;1727;193.44
1202;265;1681;193.44
1202;26;1707;193.43
1203;93;1697;193.41
1232;73;1647;193.4
1232;27;1696;193.43
1233;87;1679;193.46
1263;41;1620;193.5
1265;24;1674;193.54
1266;58;1697;193.58
1295;37;1630;193.6
1297;48;1675;193.63
1325;30;1695;193.66
1326;65;1664;193.71
1326;81;1682;193.76
1350;35;1713;193.8
1351;161;1679;193.84
1379;21;1728;193.89
1380;33;1776;193.94
1380;51;1729;193.98
1403;36;1721;193.97
1403;82;1764;193.92
1427;74;1712;193.87
1427;119;1683;193.84
1455;157;1745;193.82
1455;30;1677;193.83
1458;53;1694;193.83
1482;148;1779;193.81
1482;50;1772;193.72
1504;59;1729;193.58
1504;95;1834;193.44
1530;19;1798;193.29
1530;76;1808;193.13
1557;30;1846;192.93
1557;23;1850;192.71
1558;80;1821;192.5
1589;29;1863;192.3
1589;20;1819;192.11
1614;96;1794;191.93
1615;177;1883;191.79
1615;96;1821;191.68
1641;110;1837;191.63
1641;33;1875;191.62
1667;63;1920;191.64
1667;58;1885;191.59
1690;48;1936;191.42
1690;86;1951;191.16
1715;335;1945;190.84
1715;21;2000;190.52
1716;26;2018;190.22
1738;52;1899;190.0
1738;66;1925;189.84
1762;73;1920;189.73
1763;109;1827;189.66
1787;35;1817;189.6
1787;157;1830;189.5
1813;55;1738;189.34
1813;112;1767;189.1
1839;28;1725;188.79
1840;125;1713;188.46
1840;32;1679;188.12
1864;29;1731;187.85
1864;38;1659;187.59
1890;21;1651;187.35
1890;77;1716;187.16
1916;107;1679;187.01
1916;85;1655;186.87
1919;123;1722;186.67
1946;54;1667;186.45
1948;73;1632;186.21
1978;250;1668;185.95
1978;23;1600;185.67
1980;18;1587;185.39
2009;159;1597;185.15
2010;20;1569;184.94
2010;31;1558;184.76
2041;91;1609;184.64
2041;22;1570;184.58
2042;17;1558;184.55
2070;54;1623;184.47
2071;25;1587;184.4
2101;112;1554;184.36
2101;27;1616;184.3
2102;25;1611;184.22
2238;43;1625;184.12
2239;64;1685;184.04
2240;21;1689;183.96
2241;39;1664;183.86
2241;149;1707;183.77
2241;17;1706;183.66
2242;151;1671;183.59
2242;34;1708;183.55
2242;16;1712;183.53
2244;36;1680;183.47
2244;20;1727;183.41
2244;31;1743;183.38
2245;44;1719;183.38
2278;43;1765;183.44
2278;77;1777;183.49
2279;43;1710;183.55
2483;48;1759;183.63
2483;36;1803;183.69
2483;75;1777;183.72
2484;67;1840;183.78
2484;44;1875;183.87
2484;96;1856;183.94
2484;95;1835;183.98
2485;128;1904;183.98
2485;94;1855;183.96
2485;135;1839;183.94
2485;250;1938;183.92
2486;21;1895;183.89
2486;128;1863;183.88
2486;332;1963;183.91
2486;64;1881;183.96
2487;151;1831;184.01
2487;146;1936;184.06
2487;39;1869;184.11
2526;130;1853;184.17
2528;96;1919;184.21
2528;16;1897;184.25
2529;75;1866;184.28
2574;48;1934;184.28
2574;23;1902;184.28
2574;144;1875;184.28
2575;57;1950;184.31
2604;21;1905;184.35
2605;62;1838;184.4
2605;48;1904;184.51
2635;21;1879;184.65
2636;43;1822;184.85
2637;60;1890;185.06
2667;16;1877;185.28
2668;26;1771;185.54
2698;95;1830;185.82
2699;43;1832;186.08
2699;109;1739;186.32
2730;36;1749;186.51
2730;19;1761;186.67
2730;177;1651;186.81
2760;18;1685;186.95
2760;37;1712;187.08
2761;37;1621;187.21
2791;112;1635;187.26
2791;43;1709;187.31
2822;111;1648;187.41
2822;17;1649;187.49
2822;99;1713;187.55
2853;165;1637;187.6
2853;27;1648;187.61
2853;205;1746;187.63
2884;76;1708;187.64
2885;130;1707;187.67
2885;267;1810;187.78
2916;93;1760;187.9
2916;176;1744;188.03
2918;265;1824;188.16
2947;23;1744;188.28
2947;151;1712;188.37
2979;209;1785;188.4
2979;54;1756;188.4
2979;91;1770;188.38
3025;128;1905;188.41
3025;116;1898;188.5
3026;80;1883;188.59
3026;181;1995;188.65
3056;33;1984;188.69
3057;162;1937;188.76
3057;53;1984;188.81
3086;33;1953;188.83
3087;319;1913;188.78
3087;109;1989;188.69
3118;53;2002;188.64
3118;107;2000;188.66
3149;51;2065;188.75
3150;80;2115;188.85
3150;60;2066;188.91
3196;71;2166;188.87
3196;80;2167;188.68
3196;29;2128;188.38
3197;22;2187;187.96
3199;26;2230;187.52
3242;59;2091;187.12
3243;242;2118;186.81
3243;31;2099;186.62
3244;53;1869;186.53
3273;30;1837;186.52
3273;36;1755;186.52
3304;109;1618;186.46
3304;23;1694;186.32
3305;39;1734;186.08
3335;111;1722;185.76
3335;29;1821;185.41
3336;165;1919;185.1
3382;13;1881;184.83
3382;82;1879;184.64
3383;167;1921;184.44
3383;49;1879;184.2
3413;64;1872;183.87
3414;90;1891;183.5
3414;49;1866;183.07
3445;23;1787;182.65
3445;64;1830;182.31
3446;80;1738;182.09
3475;123;1749;181.95
3476;115;1809;181.87
3507;81;1902;181.81
3507;37;1762;181.7
3508;47;1851;181.56
3537;22;1845;181.43
3538;35;1901;181.24
3538;84;1973;180.94
3569;21;1922;180.55
3569;31;1930;180.02
3570;103;1978;179.46
3600;17;1968;178.95
3600;78;1907;178.46
3632;31;1969;177.95
3632;17;2004;177.41
3632;64;1961;176.82
3662;18;2075;176.23
3662;23;2144;175.54
3662;50;2125;174.72
3693;30;2086;173.83
3693;29;2004;172.92
3693;36;1870;171.91
3724;75;1844;170.85
3724;105;1770;169.93
3756;35;1680;169.34
3756;50;1638;169.09
3756;38;1563;168.9
3787;128;1405;168.53
3788;69;1349;167.84
3788;144;1345;166.9
3819;162;1259;165.81
3819;48;1260;164.56
3819;32;1450;163.2
3849;58;1517;161.82
3850;21;1569;160.51
3852;178;1755;159.37
3897;272;1819;158.59
3898;63;1920;158.21
3899;89;2055;158.06
3900;47;2125;157.93
3942;63;2269;157.65
3942;33;2442;157.16
3942;22;2435;156.41
3943;38;2416;155.47
3990;79;2336;154.27
3991;19;2240;152.99
3992;79;2086;151.74
3994;59;2054;150.56
4051;32;1907;149.5
4051;398;1791;148.56
4052;42;1638;147.66
4052;417;1462;146.72
4052;54;1398;145.78
4053;213;1402;144.73
4097;26;1331;143.62
4097;21;1373;142.68
4097;22;1417;141.76
4098;23;1461;140.82
4128;62;1376;139.79
4129;284;1434;138.71
4159;80;1465;137.55
4160;14;1317;136.25
4160;240;1426;135.1
4206;93;1527;133.97
4206;96;1535;132.68
4206;33;1655;131.44
4206;55;1824;130.13
4236;128;1807;128.73
4236;81;1910;127.45
4236;26;1989;126.23
4268;16;1947;124.84
4268;122;1887;123.94
4268;31;1872;123.5
4299;37;1711;123.17
4301;50;1638;122.63
4301;61;1680;121.91
4332;35;1644;120.79
4332;37;1607;119.73
4334;64;1728;118.72
4379;73;1829;117.34
4379;73;1414;115.81
4380;58;1520;113.92
4380;21;1401;111.93
4409;241;1358;110.05
4410;161;1489;108.22
4441;89;1581;106.53
4441;73;1430;105.18
4442;87;1328;104.07
4472;45;1488;102.9
4472;80;1487;101.66
4472;26;1300;100.55
4504;28;1254;99.75
4504;80;1022;99.71
4504;78;706;100.78
4535;84;565;102.65
4535;207;533;105.19
4536;97;619;108.3
4566;20;696;111.46
4566;55;548;113.69
4597;81;422;114.61
4597;95;586;114.27
4598;162;752;113.04
4643;96;1175;111.25
4643;45;1818;109.52
4644;80;2623;111.1
4644;192;4095;116.41
4675;71;4095;121.7
4675;98;4095;125.87
4676;90;4095;128.82
4706;52;4095;131.03
4706;233;4095;132.68
4706;29;4095;133.94
4737;193;4095;134.91
4737;203;4095;135.73
4739;150;1954;136.72
4769;446;679;137.81
4769;114;320;138.7
4800;176;155;139.31
4800;284;229;139.9
4800;259;125;140.61
4832;427;129;141.59
4832;289;272;142.86
4832;162;282;144.22
4863;605;326;145.61
4863;560;561;146.81
4863;77;567;147.66
4893;242;579;148.48
4893;349;859;149.62
4924;59;994;151.09
4924;400;1115;152.83
4925;440;1473;154.77
4956;86;1582;156.69
4956;400;1703;158.38
4956;255;2047;159.75
4986;21;2206;160.94
4986;153;2342;162.14
4986;336;2639;163.4
5017;187;2795;164.64
5017;346;2736;165.71
5020;352;2816;166.63
5064;157;2853;167.32
5065;31;2739;168.08
5065;170;2797;169.01
5065;49;2759;170.06
5096;130;2670;170.94
5097;218;2657;171.54
5098;99;2735;172.08
5142;438;2493;172.86
5142;123;2434;174.12
5143;355;2259;175.56
5143;112;1951;176.61
5173;47;1650;176.66
5173;217;1392;175.33
5204;155;955;173.18
5204;159;848;170.76
5204;144;907;168.92
5236;274;830;167.97
5236;250;1070;168.14
5237;357;1432;169.49
5282;191;1630;171.92
