timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
546;0;1775;39.93
546;0;1815;43.78
546;0;1824;47.47
546;0;1776;50.98
546;0;1821;54.37
546;0;1856;57.61
546;0;1801;60.72
546;0;1814;63.71
549;0;1854;66.6
549;0;1806;69.39
549;0;1829;72.09
549;0;1872;74.67
549;0;1849;77.15
549;0;1840;79.51
549;0;1885;81.77
549;0;1830;83.97
549;0;1815;86.09
549;0;1874;88.13
549;0;1839;90.1
549;0;1826;91.98
549;0;1881;93.77
549;0;1840;95.51
549;0;1831;97.15
549;0;1886;98.72
549;0;1843;100.24
554;0;1825;101.69
554;0;1882;103.11
554;0;1838;104.46
554;0;1794;105.72
556;0;1855;106.94
556;0;1815;108.1
556;0;1785;109.18
556;0;1849;110.2
558;0;1825;111.2
558;0;1771;112.19
558;0;1831;113.13
558;0;1808;114.01
560;0;1775;114.85
560;0;1825;115.65
560;0;1817;116.42
562;0;1775;117.12
562;0;1837;117.8
562;0;1838;118.46
562;0;1795;119.13
562;0;1840;119.8
564;0;1842;120.44
564;0;1796;121.06
564;0;1824;121.68
566;0;1840;122.27
566;0;1786;122.84
566;0;1824;123.37
902;0;1847;123.88
902;0;1792;124.37
902;0;1809;124.86
902;0;1843;125.32
904;0;1787;125.77
904;0;1807;126.19
904;0;1846;126.58
904;0;1793;126.95
906;0;1808;127.3
906;0;1846;127.62
906;0;1792;127.94
906;0;1775;128.25
908;0;1822;128.56
908;0;1774;128.88
908;0;1775;129.2
910;0;1826;129.48
910;0;1783;129.77
910;0;1751;130.05
910;0;1840;130.29
912;0;1806;130.52
912;0;1798;130.76
912;0;1859;130.97
912;0;1825;131.16
914;0;1795;131.33
914;0;1855;131.48
914;0;1829;131.62
914;0;1783;131.75
916;0;1839;131.88
916;0;1823;132.04
916;0;1783;132.17
916;0;1844;132.26
934;0;1840;132.35
934;0;1802;132.45
1247;0;1849;132.53
1249;0;1840;132.62
1249;0;1808;132.71
1251;0;1840;132.81
1251;0;1833;132.9
1251;13;1781;133.0
1253;0;1815;133.09
1253;0;1819;133.16
1253;0;1746;133.23
1253;0;1776;133.26
1255;0;1791;133.3
1255;0;1722;133.31
1255;0;1746;133.36
1255;0;1749;133.41
1257;0;1690;133.46
1257;0;1714;133.52
1257;0;1729;133.57
1257;0;1680;133.61
1259;0;1693;133.66
1259;0;1719;133.72
1259;0;1650;133.76
1259;0;1661;133.81
1261;0;1709;133.84
1261;0;1647;133.88
1261;0;1634;133.93
1263;0;1680;133.97
1263;0;1643;134.01
1263;0;1621;134.03
1263;0;1681;134.07
1541;0;1629;134.1
1541;0;1635;134.12
1541;0;1699;134.11
1541;0;1653;134.1
1543;0;1633;134.08
1543;0;1694;134.08
1543;0;1671;134.08
1543;0;1651;134.1
1543;0;1731;134.11
1545;0;1711;134.13
1545;0;1666;134.18
1545;0;1722;134.21
1545;0;1702;134.22
1547;0;1674;134.23
1547;0;1711;134.26
1547;0;1712;134.27
1547;0;1671;134.28
1549;0;1742;134.29
1549;0;1733;134.31
1549;0;1692;134.32
1551;0;1750;134.33
1551;0;1764;134.36
1551;0;1721;134.38
1551;0;1781;134.4
1553;0;1794;134.42
1553;0;1760;134.45
1583;0;1808;134.47
1585;0;1831;134.49
1585;0;1792;134.51
1630;0;1818;134.53
1630;0;1834;134.55
1632;0;1763;134.57
1632;0;1782;134.59
1662;0;1810;134.62
1662;0;1766;134.62
1664;0;1801;134.64
1694;0;1835;134.64
1696;0;1787;134.65
1736;0;1806;134.66
1736;0;1855;134.66
1736;0;1815;134.67
1736;0;1825;134.66
1768;0;1888;134.64
1768;0;1831;134.59
1768;0;1817;134.58
