timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
724;511;275;11.63
726;720;420;11.61
726;1485;455;11.58
726;80;256;11.52
726;848;371;11.44
726;1470;449;11.39
726;322;304;11.34
726;336;260;11.29
729;1727;527;11.25
729;368;320;11.2
729;656;389;11.17
729;2022;483;11.13
729;122;295;11.11
729;822;368;11.09
729;1059;321;11.07
729;383;330;11.04
729;783;379;11.0
733;1077;374;10.97
733;151;274;10.94
734;960;377;10.91
735;1763;505;10.87
735;160;282;10.84
735;1010;373;10.82
735;1842;445;10.8
735;86;290;10.78
735;988;348;10.76
737;777;251;10.71
737;328;335;10.66
737;887;335;10.6
737;524;282;10.55
737;197;294;10.53
739;640;310;10.53
739;772;400;10.54
739;216;309;10.55
739;726;333;10.57
739;1338;443;10.59
739;81;284;10.63
741;720;319;10.68
741;558;274;10.72
741;270;333;10.74
742;697;324;10.75
742;225;263;10.76
742;270;312;10.77
742;944;380;10.79
742;391;363;10.82
744;89;265;10.84
744;1177;418;10.85
744;726;384;10.85
746;74;305;10.83
746;1583;447;10.79
748;338;306;10.75
748;548;397;10.73
748;1579;429;10.72
748;394;336;10.7
750;791;384;10.67
750;1744;438;10.66
750;187;291;10.63
750;411;295;10.6
752;1685;425;10.56
752;144;294;10.54
752;147;305;10.55
752;2443;497;10.56
754;159;314;10.57
755;752;384;10.58
755;1655;309;10.58
755;655;425;10.58
755;546;349;10.57
757;934;249;10.55
1107;733;370;10.55
1109;725;378;10.53
1109;1503;426;10.48
1109;177;283;10.41
1109;816;368;10.34
1109;1714;421;10.3
1111;351;350;10.28
1111;784;352;10.28
1111;693;192;10.28
1113;715;387;10.29
1113;677;335;10.27
1113;154;208;10.26
1113;619;340;10.25
1113;601;315;10.26
1115;464;326;10.27
1115;210;263;10.29
1115;638;338;10.31
1115;938;389;10.36
1115;240;318;10.42
1117;719;333;10.47
1117;269;257;10.51
1117;654;395;10.52
1117;507;316;10.5
1117;371;272;10.49
1119;657;354;10.48
1119;751;381;10.47
1119;415;344;10.46
1119;323;303;10.46
1121;1341;450;10.46
1121;678;320;10.46
1121;574;368;10.46
1121;1425;449;10.46
1121;253;257;10.46
1144;1218;445;10.44
1146;1535;464;10.44
1495;100;257;10.45
1495;939;353;10.46
1495;1602;451;10.48
1497;152;281;10.48
1497;359;266;10.49
1497;1878;538;10.5
1499;174;278;10.51
1500;927;402;10.53
1500;1797;432;10.55
1501;182;318;10.57
1501;758;364;10.58
1501;960;311;10.58
1503;420;331;10.57
1503;1036;406;10.56
1504;1255;419;10.56
1504;112;278;10.56
1504;1037;384;10.56
1506;1867;511;10.55
1507;107;271;10.52
1507;1047;368;10.5
1507;1589;387;10.48
1507;225;323;10.46
1509;960;349;10.43
1509;526;226;10.39
1510;341;322;10.36
1510;864;322;10.33
1511;576;336;10.3
1511;118;285;10.26
1511;784;333;10.24
1513;1158;465;10.24
1513;116;275;10.25
1513;839;340;10.26
1513;1107;374;10.25
1797;102;318;10.27
1798;828;332;10.29
1798;325;247;10.34
1798;422;367;10.4
1800;865;330;10.45
1800;178;257;10.5
1802;294;294;10.54
1802;1088;382;10.57
1802;598;390;10.6
1803;87;274;10.64
1803;1434;429;10.69
1804;503;323;10.74
1804;432;369;10.79
1804;1509;422;10.83
1804;309;316;10.86
1804;850;411;10.87
1804;1727;442;10.88
1804;378;317;10.87
1809;533;327;10.87
1809;1693;403;10.87
1809;231;295;10.88
1811;145;266;10.9
1811;2146;505;10.91
1813;143;318;10.9
1813;842;398;10.89
1814;2026;358;10.87
1814;807;441;10.84
1861;649;351;10.82
1863;1200;257;10.8
1863;893;379;10.77
1865;912;388;10.73
1866;1755;448;10.7
1910;287;274;10.66
1912;786;366;10.63
1914;2124;445;10.6
1916;447;354;10.57
1992;839;363;10.55
1992;1125;206;10.55
1997;762;392;10.57
1999;789;334;10.59
2001;400;208;10.61
2001;676;322;10.63
2001;705;331;10.66
2001;845;397;10.68
2084;198;258;10.69
2084;726;349;10.7
2088;1167;384;10.69
2089;386;347;10.68
2089;832;348;10.66
2089;462;240;10.64
2089;816;411;10.62
2094;705;341;10.6
2174;342;270;10.61
2177;752;346;10.61
2179;960;398;10.64
2181;469;335;10.66
2181;410;325;10.69
2184;1278;442;10.72
2185;538;298;10.75
2185;767;399;10.78
2252;1406;458;10.81
2252;173;256;10.84
2252;1347;456;10.87
2252;1631;473;10.9
2252;126;257;10.93
2260;834;306;10.95
2263;1681;455;10.98
2367;144;284;11.0
2367;285;254;11.01
2370;2095;589;11.02
2370;167;288;11.04
2370;1104;405;11.07
2370;1777;416;11.12
2375;407;359;11.17
2375;775;370;11.22
2377;949;317;11.25
2377;482;335;11.29
2379;1040;396;11.34
2507;1528;465;11.4
2509;126;266;11.44
2511;1019;373;11.45
2515;2006;528;11.49
2515;145;304;11.53
2517;1061;363;11.57
2519;1114;276;11.58
2521;456;352;11.59
2524;1006;320;11.6
2524;663;304;11.61
2524;215;282;11.61
2529;816;323;11.59
2531;1328;471;11.54
2637;94;269;11.47
2637;878;352;11.42
2637;1265;402;11.39
2637;180;313;11.38
2643;931;336;11.42
2645;327;241;11.48
2645;461;358;11.55
2645;714;331;11.62
2645;130;277;11.69
2645;336;297;11.76
2652;1170;390;11.83
3208;634;395;11.9
3208;99;285;11.95
3209;1468;441;12.01
3209;281;305;12.07
3209;576;401;12.11
3209;1644;434;12.12
3209;382;331;12.1
3209;963;385;12.05
3209;1762;430;11.99
3209;280;308;11.94
3209;309;272;11.9
3209;1483;404;11.87
3216;183;298;11.83
3216;274;340;11.79
3216;2384;470;11.75
3216;176;332;11.73
3216;661;353;11.69
3216;1328;251;11.64
3216;757;406;11.56
3216;702;368;11.45
3216;871;302;11.34
3216;557;328;11.24
3216;864;383;11.15
3216;1712;461;11.04
3224;177;294;10.93
3226;832;378;10.81
3226;1535;346;10.68
3226;402;368;10.6
3226;868;355;10.57
3226;457;167;10.57
3226;485;358;10.59
3226;725;328;10.61
3226;272;272;10.61
3232;425;302;10.61
3232;642;334;10.62
3232;778;397;10.65
3232;109;279;10.7
3232;850;367;10.75
3232;717;302;10.78
3232;429;366;10.8
3232;752;314;10.81
3232;345;282;10.8
3232;821;392;10.82
3232;590;326;10.83
3232;192;265;10.84
3240;511;325;10.85
3242;950;369;10.85
3242;562;382;10.83
3243;160;290;10.8
3243;1208;447;10.78
3243;779;363;10.77
3243;496;360;10.77
3243;1333;442;10.77
3319;306;266;10.76
3319;1123;448;10.74
3321;1456;458;10.72
3321;98;259;10.72
3321;849;350;10.75
3321;1661;445;10.79
3321;245;301;10.79
3321;463;257;10.84
3395;1872;530;10.88
3395;297;307;10.89
3395;653;385;10.93
3395;2021;447;11.0
3395;109;292;11.12
3395;754;361;11.18
3471;1072;294;11.25
3471;479;362;11.19
3471;1016;394;11.04
3478;1207;399;10.9
3479;143;273;10.64
3479;1072;383;10.25
3479;1885;507;9.97
3479;76;272;10.29
3554;1151;375;10.32
3556;1631;391;10.22
3556;304;336;10.23
3556;1058;362;10.26
3559;551;219;10.19
3559;271;306;10.09
3561;896;319;9.93
3644;400;314;10.06
3646;156;277;10.15
3646;714;332;10.22
3648;1211;455;10.33
3648;80;272;10.35
3648;960;355;10.36
3651;1231;366;10.35
3651;221;327;10.35
3739;958;336;10.34
3739;305;245;10.33
3739;543;372;10.38
3739;848;334;10.42
3739;183;283;10.42
3739;310;298;10.43
3744;1239;416;10.42
3745;657;392;10.37
3825;171;299;10.35
3827;1535;447;10.36
3827;330;302;10.37
3827;741;416;10.38
3827;1797;447;10.39
3827;325;315;10.39
3827;978;423;10.39
3827;1903;448;10.44
3923;205;287;10.49
3923;486;301;10.54
3928;1760;430;10.59
3928;276;287;10.61
3930;115;310;10.64
3930;2559;496;10.69
3930;129;317;10.74
3932;977;391;10.77
3932;1588;277;10.77
4016;786;417;10.77
4016;527;347;10.75
4016;1011;270;10.72
4018;624;336;10.7
4018;775;377;10.68
4018;1414;409;10.65
4020;393;283;10.62
4020;917;372;10.6
4105;1913;455;10.57
4108;241;305;10.56
4108;1031;381;10.54
4108;1113;261;10.53
4110;595;376;10.48
4110;822;339;10.44
4110;240;183;10.4
4110;623;336;10.36
4187;720;322;10.36
4191;526;344;10.38
4191;175;263;10.39
4191;772;351;10.41
4191;1105;418;10.45
4194;101;299;10.49
4195;754;336;10.53
4195;455;263;10.55
4272;641;393;10.58
4272;592;307;10.59
4272;256;252;10.63
4274;630;369;10.66
4274;934;375;10.73
4276;261;296;10.79
4276;273;283;10.83
4354;1110;426;10.85
4354;988;432;10.87
4354;401;333;10.9
4354;1789;474;10.95
4354;423;276;11.01
4354;1083;427;11.03
4354;867;390;11.06
4429;52;257;11.14
4429;853;369;11.21
4429;1287;412;11.21
4429;21;272;11.2
4429;1019;343;11.16
4429;562;350;11.06
4429;53;267;10.93
4494;459;310;10.81
4494;978;428;10.74
4494;0;276;10.68
4494;614;320;10.61
4494;477;304;10.54
4494;30;278;10.5
4577;209;307;10.48
4577;428;295;10.46
4577;234;302;10.4
4577;555;320;10.34
4577;290;331;10.26
4577;38;269;10.14
4577;464;323;9.97
4661;1003;400;9.79
4663;36;278;9.6
4663;351;315;9.37
4665;377;310;9.16
4665;177;320;8.99
4667;606;319;8.89
4667;262;239;8.98
4667;247;327;9.15
4753;595;313;9.42
4753;62;252;9.76
4753;70;283;10.05
4753;499;301;10.13
4753;400;352;10.27
4753;52;277;10.42
4753;779;335;10.59
4753;603;371;10.77
4840;100;287;11.05
4840;694;323;11.34
4844;242;295;11.63
4844;233;331;11.82
4846;466;304;11.96
4846;124;259;11.96
4848;211;306;12.0
4848;533;321;11.97
4922;112;293;11.85
4922;38;271;11.65
4922;978;400;11.43
4922;389;341;11.23
4927;16;292;11.08
4929;1419;417;10.95
4929;208;317;10.85
4932;465;386;10.8
5012;1445;413;10.8
5012;187;304;10.81
5012;637;368;10.8
5012;1838;418;10.81
5012;101;275;10.76
5012;317;298;10.63
5012;1590;400;10.45
5098;93;287;10.28
5098;240;338;10.09
5098;2374;469;9.97
5098;69;311;9.88
5098;694;371;9.8
5101;1264;269;9.75
5101;623;415;9.68
5103;411;327;9.74
5185;891;242;9.95
5185;781;384;10.35
5187;769;385;10.82
5187;1168;379;11.28
5189;149;274;11.65
5189;881;358;11.88
5189;1637;421;12.01
5191;336;323;12.06
5273;734;348;12.16
5273;494;239;12.35
5274;657;383;12.62
5274;638;335;12.88
5276;304;267;13.1
5278;922;365;13.27
5278;432;304;13.36
5278;80;278;13.43
5367;270;272;13.53
5367;374;322;13.75
5367;188;285;14.08
5367;233;320;14.53
5367;345;313;14.98
5367;266;336;15.36
5367;487;344;15.69
5367;277;307;15.93
5450;453;331;16.14
5450;355;310;16.28
5450;414;336;16.28
5450;244;258;16.07
5450;203;287;15.72
5450;432;357;15.37
5450;11;262;15.01
5456;368;326;14.71
5539;237;324;14.5
5539;170;318;14.43
5539;668;359;14.46
5544;443;340;14.56
5544;293;315;14.69
5544;489;320;14.74
5544;438;330;14.64
5544;105;285;14.58
5631;218;281;14.5
5631;649;373;14.39
5631;121;282;14.25
5631;585;341;14.06
5631;705;347;13.87
5631;117;311;13.64
5631;421;319;13.46
5637;251;282;13.31
5712;295;326;13.16
5712;531;333;13.01
5712;208;314;12.92
5712;59;273;12.89
5712;542;325;12.9
5712;631;368;12.89
5712;31;271;12.94
5803;353;308;13.02
5803;399;317;13.06
5803;68;301;13.11
5803;336;309;13.18
5803;173;299;13.2
5803;96;305;13.2
5803;281;291;13.17
5803;135;291;13.13
5889;32;278;13.04
5889;215;298;12.84
5889;250;337;12.58
5889;95;296;12.36
5894;375;305;12.23
5894;122;299;12.18
5894;16;289;12.25
5894;224;295;12.42
5975;186;318;12.58
5977;219;319;12.69
5977;187;306;12.71
5977;162;278;12.64
5979;197;285;12.51
5979;166;329;12.4
5979;501;378;12.16
5981;57;283;11.8
6056;1553;431;11.49
6059;159;299;11.33
6059;69;289;11.4
6061;1661;423;11.69
6062;195;239;11.85
6062;592;371;11.42
6064;1501;400;10.92
6148;133;275;10.57
6148;240;278;10.36
6148;2459;467;10.3
6148;141;298;10.31
6148;175;326;10.33
6148;2210;448;10.33
6148;78;317;10.26
6148;655;352;10.26
6237;1021;256;10.31
6237;722;407;10.42
6237;805;363;10.57
6239;1098;320;10.61
6239;572;335;10.71
6239;1072;399;10.86
6241;1654;435;11.0
6241;32;272;11.12
6322;1179;381;11.2
6322;1664;355;11.28
6322;612;375;11.39
6324;784;336;11.44
6324;468;177;11.5
6327;732;373;11.51
6327;1182;363;11.53
6328;193;259;11.56
6405;295;287;11.62
6405;1009;354;11.72
6407;1297;431;11.91
6407;54;256;12.15
6407;544;335;12.32
6409;435;289;12.25
6410;53;299;12.31
6488;85;302;12.36
6488;192;279;12.46
6488;1088;413;12.57
6490;786;370;12.63
6490;98;290;12.66
6490;1961;458;12.73
6490;1776;445;12.83
6495;2075;483;12.99
6578;98;286;13.17
6578;321;343;13.33
6580;66;269;13.42
6580;1465;432;13.46
6580;797;374;13.59
6582;224;287;13.86
6582;524;354;14.19
6585;886;386;14.6
6659;59;270;15.04
6659;469;310;15.35
6659;1002;383;15.37
6659;240;273;15.2
6659;34;284;14.88
6666;1136;423;14.56
6666;35;274;14.25
6744;321;336;14.02
6744;923;364;13.86
6746;55;310;13.78
6746;359;307;13.77
6748;283;283;13.9
6748;329;326;14.1
6748;302;310;14.3
6750;546;331;14.32
6824;37;273;14.2
6824;420;316;14.11
6824;389;352;14.13
6824;35;272;14.19
6824;528;320;14.2
6824;380;320;14.13
6830;74;301;14.0
6905;490;318;13.83
6905;96;257;13.71
6909;319;323;13.67
6911;388;303;13.62
6911;206;306;13.64
6911;91;275;13.54
6913;342;295;13.33
6995;6;288;13.11
6995;0;262;12.9
6995;342;303;12.73
6997;64;301;12.49
6997;65;292;12.24
6997;400;305;11.99
6999;235;346;11.82
6999;238;333;11.73
7074;155;290;11.65
7074;261;310;11.64
