timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
464;326;2650;6.68
464;511;3180;6.69
464;1012;613;6.69
467;287;2845;6.7
467;560;2999;6.72
467;1003;682;6.73
467;233;2330;6.73
470;593;2943;6.74
470;1054;368;6.73
470;227;2443;6.72
470;559;2672;6.71
472;1075;71;6.69
472;243;2090;6.68
473;577;2736;6.67
473;1012;487;6.66
473;239;1995;6.66
473;589;2544;6.66
473;982;253;6.66
473;196;2283;6.67
473;597;2795;6.67
473;997;197;6.67
473;203;1874;6.68
473;614;2502;6.69
473;990;147;6.69
473;199;2017;6.7
473;613;2655;6.7
473;963;83;6.71
480;181;1872;6.71
480;641;2886;6.72
482;986;117;6.73
482;167;2102;6.73
482;626;2928;6.73
482;979;559;6.73
482;144;2077;6.71
482;633;2929;6.68
482;990;543;6.66
482;107;2667;6.66
486;639;3344;6.66
486;968;503;6.66
486;81;2091;6.66
486;678;2870;6.66
488;978;331;6.66
488;39;1817;6.67
488;652;2909;6.69
488;978;403;6.69
839;55;2032;6.69
839;669;3342;6.68
839;950;510;6.68
839;0;2042;6.68
839;693;2921;6.67
839;963;222;6.65
839;0;1861;6.64
847;715;2724;6.63
847;914;269;6.62
849;0;1839;6.62
849;688;2971;6.62
849;953;381;6.63
849;0;1808;6.64
849;720;3027;6.65
849;903;244;6.66
849;0;1399;6.67
849;712;2659;6.67
849;911;0;6.67
854;6;1520;6.66
854;729;2863;6.66
854;901;589;6.65
854;36;1646;6.65
856;714;2919;6.65
856;898;320;6.64
856;48;1674;6.64
856;752;2810;6.64
856;913;305;6.63
856;57;1415;6.63
856;754;2800;6.63
856;886;286;6.63
856;69;1373;6.65
856;786;3187;6.66
856;882;197;6.66
886;80;1413;6.66
886;815;3433;6.67
1170;845;592;6.67
1170;162;1570;6.65
1171;869;3011;6.64
1173;858;269;6.63
1173;133;1520;6.62
1173;893;3303;6.61
1173;814;448;6.6
1173;149;1519;6.6
1175;963;3083;6.6
1176;799;528;6.61
1176;203;1187;6.62
1176;963;2703;6.62
1176;753;347;6.62
1178;258;1494;6.62
1178;917;3296;6.63
