timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
1068;0;400;0.61
1069;0;4095;0.58
1069;0;2986;0.54
1069;0;738;0.51
1069;0;4095;0.5
1069;0;3195;0.5
1069;0;871;0.52
1069;0;4095;0.54
1069;0;3134;0.54
1069;0;931;0.54
1069;0;4095;0.53
1069;0;3676;0.52
1076;0;0;0.51
1076;0;4095;0.51
1076;0;4063;0.51
1076;0;718;0.5
1076;0;4095;0.48
1076;0;4095;0.44
1076;0;0;0.38
1076;0;4095;0.33
1076;0;4095;0.28
1076;0;633;0.23
1076;0;4095;0.22
1076;0;4095;0.24
1076;0;0;0.26
1076;0;4095;0.27
1076;0;4095;0.26
1076;0;884;0.25
1084;0;4095;0.23
1084;0;4095;0.23
1086;0;0;0.24
1086;0;4095;0.26
1086;0;4095;0.32
1086;0;768;0.38
1086;0;4095;0.42
1086;0;4095;0.43
1086;0;0;0.41
1086;0;4095;0.36
1086;0;4095;0.3
1086;0;533;0.24
1086;0;4095;0.18
1086;0;4095;0.16
1086;0;273;0.15
1086;0;4095;0.16
1086;0;4095;0.18
1086;0;419;0.23
1086;0;4095;0.3
1093;0;4095;0.34
1093;0;0;0.36
1093;0;3440;0.35
1093;0;4095;0.31
1093;0;338;0.29
1093;0;4095;0.27
1093;0;4095;0.28
1093;0;0;0.28
1093;0;4095;0.3
1093;0;4095;0.32
1093;0;0;0.33
1093;0;4095;0.36
1093;0;4095;0.4
1093;0;0;0.43
1093;0;4095;0.44
1093;0;4095;0.43
1093;0;0;0.41
1093;0;4095;0.41
1093;0;4095;0.42
1093;0;0;0.43
1093;0;4095;0.46
1093;0;4095;0.48
1093;0;55;0.47
1101;0;4095;0.45
1101;0;4095;0.44
1101;0;0;0.42
1101;0;4095;0.43
1102;0;4095;0.45
1102;0;46;0.5
1102;0;4095;0.54
1102;0;4095;0.58
1102;0;576;0.62
1102;0;3895;0.65
1102;0;4095;0.69
1102;0;0;0.75
1102;0;4095;0.83
1102;0;4095;0.88
1102;0;0;0.92
1102;0;4095;0.94
1102;0;4095;0.94
1102;0;0;0.94
1102;0;4095;0.95
1102;0;4095;0.93
1102;0;33;0.91
1102;0;4095;0.89
1102;0;4095;0.87
1102;0;0;0.85
1102;0;4095;0.83
1102;0;4095;0.83
1102;0;720;0.87
1102;0;4095;0.94
1109;0;4095;0.99
1467;0;303;1.02
1467;0;2464;1.05
1467;0;4095;1.08
1473;0;1709;1.11
1473;0;2283;1.14
1475;0;4095;1.16
1475;0;368;1.17
1475;0;4095;1.19
1475;0;4095;1.21
1477;0;530;1.23
1477;0;4095;1.24
1477;0;4095;1.23
1477;0;259;1.22
1477;0;4095;1.21
1477;0;4095;1.19
1477;0;84;1.18
1477;0;4095;1.19
1477;0;4095;1.2
1477;0;112;1.22
1477;0;4095;1.25
1477;0;4095;1.27
1483;0;275;1.29
1483;0;4095;1.29
1483;0;4095;1.27
1485;0;576;1.24
1485;0;4095;1.21
1487;0;4095;1.16
1487;0;720;1.1
1487;0;4095;1.03
1489;0;4095;0.96
1489;0;699;0.91
1489;0;4095;0.87
1489;0;4095;0.82
1489;0;1042;0.8
1518;0;4095;0.78
1518;0;4095;0.78
1518;0;1163;0.79
1904;0;4095;0.81
1904;0;4095;0.82
1904;0;1035;0.81
1904;0;4095;0.79
1904;0;4095;0.77
1904;0;1647;0.75
1904;0;4095;0.74
1909;0;4095;0.75
1909;0;1520;0.78
1910;0;4095;0.84
1910;0;4095;0.9
1910;0;474;0.96
1910;0;3653;1.03
1910;0;4095;1.09
1910;0;1745;1.13
1910;0;4006;1.14
1910;0;4095;1.15
1910;0;449;1.15
1910;0;3781;1.12
1910;0;4095;1.1
1910;0;1363;1.07
1917;0;3115;1.04
1917;0;4095;0.99
1918;0;590;0.95
1918;0;3131;0.92
1918;0;4095;0.9
1918;0;394;0.9
1918;0;3441;0.89
1918;0;4095;0.86
1918;0;775;0.81
1918;0;2832;0.77
1918;0;4095;0.73
1918;0;2343;0.68
1918;0;2524;0.64
1918;0;4095;0.61
1918;0;1633;0.57
2195;0;2588;0.54
2195;0;4095;0.53
2197;0;1405;0.55
2197;0;2995;0.55
2197;0;4095;0.55
2197;0;1557;0.54
2197;0;2270;0.51
2197;0;4095;0.5
2197;0;1332;0.5
2197;0;3102;0.51
2197;0;4095;0.53
2197;0;661;0.56
2197;0;2161;0.58
2197;0;4095;0.59
2197;0;1183;0.59
2197;0;2099;0.57
2197;0;4095;0.56
2197;0;1746;0.54
2203;0;2021;0.53
2203;0;4095;0.5
2203;0;1290;0.47
2204;0;1888;0.44
2204;0;4095;0.42
2204;0;1445;0.41
2204;0;1853;0.39
2204;0;4095;0.38
2241;0;849;0.36
2243;0;1560;0.35
2243;0;4095;0.34
2278;0;1616;0.34
2278;0;1605;0.32
2280;0;4095;0.29
2318;0;1594;0.26
2318;0;1693;0.24
2318;0;4095;0.25
2318;0;1874;0.25
2377;0;1584;0.24
2377;0;4095;0.19
2377;0;1808;0.11
2377;0;1792;0.06
2377;0;4095;0.07
2434;0;2336;0.11
2434;0;1615;0.16
2434;0;4095;0.18
2436;0;1952;0.19
2436;0;1303;0.2
2492;0;4095;0.24
2492;0;1911;0.22
2492;0;812;0.19
2492;0;4095;0.17
2492;0;2126;0.16
2492;0;1107;0.15
2550;0;4095;0.16
2550;0;2729;0.19
2550;0;642;0.23
2550;0;4095;0.27
2550;0;2913;0.31
2615;0;1485;0.34
2615;0;4095;0.37
2615;0;2557;0.37
2615;0;736;0.34
2615;0;4095;0.29
2615;0;2712;0.22
2699;0;1305;0.17
2699;0;4095;0.14
2699;0;3297;0.16
2699;0;1082;0.21
2699;0;4095;0.27
2707;0;4095;0.31
2707;0;1440;0.3
2709;0;4095;0.25
2783;0;3081;0.18
2783;0;1082;0.1
2785;0;4095;0.02
2785;0;3679;0.05
2787;0;1220;0.09
2787;0;4095;0.09
2791;0;3249;0.08
2863;0;0;0.05
2863;0;4095;0.02
2863;0;3333;0.01
2863;0;979;0.02
2863;0;4095;0.04
2863;0;3242;0.08
2863;0;53;0.1
2917;0;4095;0.12
2917;0;4095;0.12
2917;0;1200;0.1
2919;0;4095;0.07
2919;0;4095;0.03
2976;0;323;0.0
2978;0;4095;0.03
2978;0;4095;0.05
2980;0;1125;0.05
2980;0;4095;0.01
3043;0;4095;0.03
3043;0;0;0.08
3043;0;4095;0.14
3043;0;4095;0.18
3043;0;1264;0.19
3043;0;4095;0.19
3110;0;4095;0.18
3110;0;0;0.18
3115;0;4095;0.2
3116;0;4095;0.21
3116;0;0;0.21
3116;0;4095;0.21
3116;0;4095;0.22
3170;0;0;0.22
3170;0;4095;0.21
3170;0;4095;0.2
3171;0;900;0.18
3214;0;4095;0.15
3216;0;4095;0.11
3216;0;2547;0.07
3216;0;4095;0.03
3263;0;4095;0.02
3263;0;384;0.05
3263;0;4095;0.06
3263;0;4095;0.08
3263;0;0;0.09
3313;0;4095;0.11
3313;0;4095;0.12
3313;0;0;0.14
3316;0;4095;0.16
3374;0;4095;0.17
3374;0;0;0.16
3374;0;4095;0.16
3376;0;4095;0.15
3376;0;0;0.14
3378;0;4095;0.14
3440;0;4095;0.14
3442;0;367;0.15
3442;0;4095;0.14
3444;0;4095;0.14
3444;0;0;0.15
3444;0;4095;0.16
3511;0;4095;0.17
3511;0;784;0.18
3511;0;3930;0.19
3511;0;4095;0.19
3511;0;0;0.18
3515;0;4095;0.19
3579;0;4095;0.2
3579;0;112;0.21
3579;0;4095;0.22
3581;0;4095;0.23
3581;0;0;0.23
3581;0;3325;0.25
3641;0;4095;0.26
3641;0;421;0.26
3641;0;4095;0.25
3641;0;4095;0.24
3646;0;0;0.23
3646;0;4095;0.23
3714;0;4095;0.24
3714;0;581;0.24
3714;0;4095;0.25
3717;0;4095;0.25
3717;0;111;0.24
3717;0;4095;0.23
3784;0;4095;0.21
3784;0;596;0.2
3784;0;4095;0.19
3784;0;4095;0.18
3784;0;620;0.18
3784;0;4095;0.17
3784;0;4095;0.17
3849;0;1087;0.15
3849;0;4095;0.14
3849;0;4095;0.13
3849;0;405;0.14
3849;0;4095;0.16
3849;0;4095;0.17
3926;0;1343;0.19
3926;0;4095;0.22
3928;0;4095;0.24
3928;0;243;0.26
3930;0;4095;0.27
3931;0;4095;0.28
3931;0;322;0.28
3999;0;4095;0.29
3999;0;4095;0.3
3999;0;927;0.32
3999;0;4095;0.34
3999;0;4095;0.35
3999;0;1097;0.34
4076;0;4095;0.32
4076;0;4095;0.28
4076;0;707;0.24
4076;0;4095;0.19
4076;0;4095;0.14
4082;0;806;0.11
4082;0;1693;0.09
4159;0;4095;0.09
4159;0;1492;0.12
4159;0;4095;0.15
4159;0;4095;0.17
4159;0;644;0.16
4163;0;4095;0.14
4163;0;4095;0.11
4163;0;1106;0.08
4247;0;4095;0.03
4247;0;4095;0.01
4247;0;1328;0.04
4247;0;4095;0.07
4247;0;4095;0.08
4247;0;1344;0.08
4247;0;4095;0.07
4254;0;4095;0.05
4326;0;878;0.01
4326;0;3938;0.04
4326;0;4095;0.09
4326;0;528;0.13
4326;0;3565;0.14
4331;0;4095;0.16
4331;0;1485;0.17
4407;0;3951;0.17
4409;0;4095;0.18
4409;0;1170;0.18
4409;0;3684;0.18
4411;0;4095;0.17
4411;0;805;0.16
4411;0;3279;0.16
4473;0;4095;0.14
4473;0;1120;0.12
4477;0;3184;0.1
4477;0;4095;0.09
4477;0;4095;0.08
4479;0;1254;0.09
4538;0;4095;0.1
4538;0;4095;0.13
4538;0;1749;0.15
4538;0;4095;0.15
4538;0;721;0.15
4544;0;2685;0.16
4612;0;4095;0.18
4612;0;1233;0.2
4612;0;2785;0.21
4614;0;4095;0.23
4614;0;10;0.25
4614;0;1122;0.26
4676;0;4095;0.28
4678;0;937;0.32
4678;0;2030;0.35
4678;0;4095;0.38
4680;0;4022;0.4
4680;0;2704;0.4
4742;0;4095;0.4
4744;0;1809;0.39
4744;0;890;0.39
4744;0;4095;0.38
4746;0;3760;0.36
4746;0;2079;0.34
4808;0;4095;0.33
4810;0;1181;0.32
4810;0;1871;0.3
4810;0;4095;0.28
4810;0;1185;0.27
4812;0;1943;0.27
4881;0;4095;0.27
4881;0;4095;0.27
4881;0;593;0.26
4881;0;4095;0.26
4881;0;4095;0.27
4881;0;384;0.28
4946;0;4095;0.28
4946;0;2640;0.26
4946;0;1453;0.25
4946;0;4095;0.26
4951;0;4095;0.28
4952;0;681;0.31
5020;0;4095;0.33
5020;0;1634;0.36
5024;0;1069;0.37
5024;0;4095;0.37
5025;0;4095;0.37
5025;0;938;0.37
5027;0;4095;0.36
5095;0;1526;0.34
5097;0;879;0.31
5097;0;4095;0.29
5097;0;4095;0.28
5099;0;669;0.29
5099;0;4095;0.3
5099;0;2147;0.32
5178;0;982;0.33
5178;0;4095;0.34
5178;0;2621;0.35
5178;0;1463;0.35
5178;0;4095;0.36
5178;0;2489;0.36
5178;0;697;0.35
5243;0;4095;0.35
5243;0;3329;0.35
5243;0;2393;0.34
5243;0;4095;0.33
5243;0;4006;0.32
5243;0;0;0.32
5309;0;4095;0.29
5309;0;2877;0.26
5311;0;1383;0.23
5311;0;4095;0.22
5311;0;2803;0.21
5313;0;1507;0.21
5382;0;4095;0.21
5382;0;4095;0.2
5382;0;2544;0.19
5382;0;4095;0.19
5386;0;2559;0.19
5386;0;2;0.19
5448;0;4095;0.2
5448;0;4095;0.19
5448;0;1439;0.19
5450;0;4095;0.18
5451;0;4095;0.18
5452;0;1153;0.17
5661;0;4095;0.17
5663;0;4095;0.16
5665;0;942;0.14
5666;0;4095;0.12
5668;0;2984;0.12
5670;0;1067;0.13
5671;0;4095;0.16
5673;0;4095;0.2
5675;0;1001;0.23
5675;0;4095;0.25
5683;0;4095;0.28
5684;0;959;0.31
5686;0;4095;0.32
5686;0;3630;0.33
5688;0;880;0.32
5688;0;4095;0.31
5688;0;4095;0.3
5688;0;1358;0.31
5688;0;4095;0.3
5688;0;4095;0.31
5697;0;784;0.3
5700;0;4095;0.3
5862;0;4095;0.28
5862;0;304;0.27
5862;0;4095;0.25
5862;0;4095;0.24
5862;0;752;0.26
5870;0;4095;0.31
5873;0;4095;0.35
5873;0;272;0.33
5876;0;4095;0.24
5876;0;4095;0.14
5879;0;0;0.06
5879;0;4095;0.01
5879;0;4095;0.04
5879;0;0;0.04
5879;0;4095;0.05
5879;0;4095;0.07
5879;0;1237;0.1
6222;0;4095;0.14
6223;0;4095;0.17
6223;0;0;0.22
6223;0;4095;0.25
6223;0;4095;0.29
6223;0;16;0.32
6223;0;4095;0.33
6223;0;4095;0.33
6223;0;685;0.33
6223;0;4095;0.32
6223;0;4095;0.31
6223;0;0;0.33
6223;0;4095;0.35
6223;0;4095;0.39
6223;0;0;0.41
6223;0;4095;0.44
6229;0;4095;0.46
6229;0;2750;0.48
6229;0;4095;0.49
6229;0;4095;0.5
6229;0;0;0.51
6229;0;4095;0.5
6229;0;4095;0.49
6229;0;342;0.47
6229;0;4095;0.44
6232;0;4095;0.41
6232;0;775;0.38
6232;0;4095;0.36
6232;0;4095;0.35
6232;0;674;0.34
6232;0;4095;0.35
6287;0;4095;0.35
6287;0;3386;0.35
6287;0;3995;0.34
6287;0;4095;0.32
6289;0;279;0.31
6338;0;4095;0.29
6338;0;4095;0.27
6340;0;4095;0.25
6340;0;4095;0.23
6340;0;4095;0.21
6397;0;67;0.19
6397;0;4095;0.19
6397;0;4095;0.18
6397;0;31;0.18
6397;0;4095;0.17
6467;0;4095;0.17
6467;0;128;0.16
6467;0;4095;0.14
6467;0;4095;0.12
6467;0;700;0.1
6467;0;4095;0.09
6467;0;4095;0.09
6559;0;755;0.09
6559;0;4095;0.09
6559;0;4095;0.09
6559;0;507;0.08
6559;0;4095;0.09
6559;0;4095;0.09
6559;0;167;0.11
6559;0;4095;0.11
6665;0;4095;0.1
6665;0;4095;0.08
6665;0;4095;0.06
6665;0;4095;0.04
6665;0;192;0.02
6665;0;4095;0.0
6673;0;4095;0.02
6675;0;4095;0.04
6675;0;4095;0.06
6677;0;4095;0.06
6749;0;870;0.07
6751;0;4095;0.06
6751;0;4095;0.06
6751;0;435;0.05
6751;0;4095;0.06
6751;0;4095;0.07
6751;0;1206;0.08
6808;0;4095;0.11
6808;0;4095;0.13
6808;0;2651;0.14
6808;0;4080;0.13
6808;0;4095;0.13
6890;0;1171;0.13
6890;0;4095;0.13
6892;0;4095;0.14
6892;0;3042;0.13
6892;0;4095;0.13
6892;0;4095;0.13
6892;0;1035;0.14
6892;0;3905;0.15
6967;0;4095;0.17
6967;0;4095;0.18
6967;0;4095;0.18
6970;0;4095;0.17
6970;0;891;0.16
6970;0;4095;0.13
6970;0;4095;0.13
7050;0;306;0.13
7050;0;3910;0.13
7051;0;4095;0.14
7051;0;605;0.14
