timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
491;175;337;15.16
493;288;365;15.15
493;64;343;15.14
493;175;338;15.12
493;302;368;15.1
493;64;344;15.08
493;169;338;15.08
493;300;366;15.08
493;65;347;15.07
499;158;339;15.07
499;292;352;15.06
500;75;347;15.07
500;148;338;15.08
500;304;366;15.08
500;70;350;15.08
500;142;339;15.08
500;302;370;15.09
500;74;342;15.12
500;144;351;15.14
500;319;367;15.17
500;75;348;15.19
500;139;337;15.2
500;320;365;15.22
508;79;348;15.23
508;140;336;15.24
509;333;366;15.25
509;77;347;15.25
509;129;336;15.25
509;333;368;15.26
509;86;353;15.27
509;128;336;15.28
509;342;370;15.3
509;80;335;15.31
509;109;336;15.32
509;336;365;15.32
516;82;349;15.33
517;105;336;15.33
518;335;363;15.34
518;55;347;15.34
518;85;336;15.34
518;339;368;15.35
518;111;351;15.36
518;93;333;15.38
518;331;358;15.39
518;112;348;15.39
518;79;336;15.39
518;338;365;15.38
526;105;351;15.37
1111;69;336;15.37
1115;333;362;15.37
1115;100;355;15.38
1115;68;336;15.38
1115;336;362;15.39
1115;111;356;15.39
1118;49;331;15.39
1119;323;356;15.4
1119;112;355;15.39
1119;49;335;15.39
1119;325;358;15.37
1119;113;358;15.34
1119;48;336;15.3
1119;313;358;15.26
1119;128;353;15.24
1119;55;341;15.22
1125;303;358;15.2
1125;119;357;15.2
1127;38;336;15.2
1127;301;352;15.19
1128;115;358;15.18
1128;40;336;15.19
1128;295;353;15.19
1128;121;357;15.2
1131;36;335;15.2
1131;294;353;15.2
1133;126;363;15.19
1133;49;336;15.19
1133;286;363;15.18
1135;129;366;15.17
1135;31;336;15.17
1135;299;357;15.17
1135;144;355;15.17
1138;35;337;15.18
1138;281;354;15.19
1140;140;358;15.19
1140;36;337;15.19
1140;286;357;15.19
1140;143;354;15.19
1140;12;337;15.17
1143;272;351;15.17
1143;147;361;15.16
1145;32;336;15.16
1145;267;345;15.16
1145;149;359;15.16
1147;9;336;15.15
1147;269;355;15.14
1150;156;360;15.13
1150;38;339;15.11
1151;256;351;15.1
1151;171;355;15.09
1151;32;336;15.08
1154;256;353;15.08
1154;128;363;15.07
1154;11;336;15.06
1154;242;351;15.05
1201;158;357;15.04
1203;28;337;15.03
1203;251;349;15.04
1205;167;357;15.04
1206;23;336;15.04
1663;268;347;15.03
1663;170;353;15.03
1665;29;335;15.01
1667;247;349;15.01
1668;176;341;15.01
1668;34;339;15.01
1670;246;351;15.01
1670;195;364;15.01
1670;40;338;15.01
1670;237;351;15.02
1670;197;363;15.04
1670;34;337;15.06
1676;230;346;15.06
1676;209;363;15.06
1676;35;340;15.06
1676;230;346;15.05
1676;205;366;15.05
1676;40;336;15.06
1676;224;346;15.06
1681;209;359;15.05
1681;43;341;15.04
1683;217;342;15.02
1683;209;363;15.02
1684;64;339;15.02
1684;208;341;15.02
1684;225;361;15.02
1686;44;341;15.01
1688;203;343;15.0
1688;234;363;15.0
1688;48;340;15.0
1688;199;345;15.0
1688;224;362;15.0
1688;48;344;15.01
1688;203;339;15.02
1692;240;362;15.03
1692;48;340;15.03
1692;190;341;15.03
1695;240;368;15.03
1695;46;351;15.03
1695;205;346;15.02
1697;255;364;15.02
1698;54;340;15.03
1698;176;336;15.02
1698;246;363;15.02
2132;70;341;15.02
