timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
940;166;347;15.4
940;144;357;15.4
940;58;350;15.39
946;146;354;15.39
947;128;361;15.4
947;53;346;15.41
947;143;349;15.41
947;124;359;15.41
947;55;346;15.41
947;140;351;15.42
947;127;359;15.42
947;59;346;15.43
947;140;351;15.44
947;139;362;15.45
947;63;349;15.47
947;142;354;15.49
947;156;366;15.53
947;68;349;15.56
947;149;351;15.58
954;158;362;15.61
954;73;346;15.6
954;147;355;15.6
954;157;362;15.6
956;68;347;15.61
956;130;349;15.63
956;155;363;15.66
956;66;348;15.67
956;123;350;15.67
956;150;359;15.67
956;65;347;15.65
956;98;349;15.63
956;137;354;15.62
956;64;347;15.6
956;111;346;15.58
956;157;355;15.56
956;78;352;15.56
956;114;343;15.56
956;159;359;15.57
956;80;352;15.62
963;122;337;15.65
963;154;360;15.68
963;81;354;15.71
964;97;348;15.73
964;167;355;15.73
964;80;354;15.71
964;97;348;15.69
964;142;358;15.66
964;80;351;15.62
964;89;353;15.6
964;139;357;15.58
964;84;352;15.57
964;85;349;15.56
964;131;356;15.56
964;87;353;15.57
964;80;347;15.58
964;150;356;15.6
964;81;351;15.61
964;80;345;15.62
964;132;356;15.64
964;83;348;15.66
964;80;346;15.66
971;138;356;15.64
971;89;353;15.61
971;80;349;15.58
971;134;356;15.57
971;81;352;15.58
973;79;350;15.58
973;149;355;15.59
973;97;354;15.62
973;77;346;15.67
975;161;355;15.74
975;103;355;15.81
975;75;345;15.87
975;147;357;15.93
975;103;354;15.99
977;64;343;16.05
977;144;350;16.12
977;92;354;16.19
977;64;343;16.24
979;141;354;16.27
979;103;354;16.29
979;64;345;16.31
979;144;353;16.35
981;107;356;16.4
981;69;347;16.45
981;144;353;16.49
981;101;357;16.52
981;63;343;16.51
1351;137;352;16.48
1351;107;355;16.44
1351;61;344;16.4
1351;147;354;16.38
1351;112;357;16.38
1351;63;351;16.4
1356;144;352;16.42
1356;111;357;16.45
1356;64;349;16.48
1358;136;352;16.52
1358;112;354;16.54
1359;66;347;16.57
1359;128;340;16.59
1359;111;355;16.61
1359;69;349;16.63
1359;120;350;16.64
1359;112;358;16.64
1359;73;348;16.65
1359;112;353;16.65
1359;108;355;16.63
1359;68;347;16.6
1364;112;351;16.55
1364;112;358;16.5
1364;79;347;16.45
1366;111;350;16.4
1366;119;358;16.37
1366;80;350;16.35
1366;112;346;16.34
1366;125;357;16.32
1366;79;351;16.28
1366;112;347;16.25
1366;123;355;16.21
1366;79;347;16.18
1366;111;349;16.16
1366;128;353;16.15
1393;80;351;16.16
1397;111;348;16.17
1397;128;358;16.18
1880;80;347;16.19
1880;111;349;16.2
1881;128;353;16.2
1883;83;350;16.21
1884;71;347;16.21
1885;130;354;16.2
1885;81;347;16.2
1887;97;346;16.21
1889;123;358;16.23
1890;80;350;16.25
1891;85;348;16.26
1891;114;354;16.27
1893;71;347;16.27
1895;85;340;16.27
1895;117;354;16.26
1895;92;363;16.25
1897;107;344;16.25
1897;123;354;16.25
1899;80;355;16.24
1899;90;350;16.24
1899;126;354;16.22
1901;79;350;16.2
1903;84;348;16.18
1903;126;349;16.16
1905;80;352;16.16
1905;84;348;16.16
1905;122;355;16.18
1905;82;350;16.2
1905;95;347;16.21
1905;119;354;16.22
1910;85;352;16.24
1910;85;350;16.26
1912;76;353;16.28
1912;92;355;16.31
1913;86;350;16.32
1913;121;354;16.33
1913;83;351;16.34
1917;83;343;16.36
1918;128;349;16.39
1918;109;361;16.42
1919;80;342;16.47
1919;143;348;16.49
1921;80;350;16.5
1921;76;342;16.49
1923;125;363;16.47
1923;84;352;16.44
1925;71;357;16.43
2303;123;355;16.44
2303;86;352;16.45
2303;80;347;16.46
2303;123;355;16.48
2311;85;353;16.49
2311;70;347;16.49
2311;130;354;16.49
2311;83;351;16.49
2311;76;349;16.46
2311;123;353;16.43
2311;85;352;16.39
2311;78;336;16.33
2311;125;350;16.25
2311;88;350;16.17
2317;65;341;16.09
2317;123;355;16.01
2317;89;349;15.93
2319;77;347;15.86
2319;131;350;15.82
2319;96;357;15.8
2321;80;351;15.79
2321;129;353;15.78
2321;93;352;15.77
2323;79;347;15.75
2323;137;354;15.73
2323;90;356;15.71
2323;87;340;15.69
2323;141;352;15.68
2323;112;359;15.69
2323;70;340;15.71
2327;147;358;15.73
2327;95;351;15.75
2329;66;343;15.77
2329;140;351;15.78
2329;92;354;15.79
2331;71;343;15.79
2367;138;353;15.79
2368;102;353;15.8
2368;77;347;15.81
2370;140;351;15.84
2409;107;355;15.85
2409;71;345;15.86
2409;144;353;15.87
2448;109;351;15.86
2448;75;346;15.85
2449;146;355;15.82
2449;108;355;15.81
2492;70;352;15.8
2492;133;354;15.81
2492;112;355;15.81
2492;70;344;15.82
2540;130;352;15.82
2540;112;358;15.82
2542;72;346;15.82
2542;138;349;15.8
2590;105;353;15.77
2592;65;344;15.75
2592;128;348;15.73
2594;107;357;15.71
2594;64;346;15.7
2638;131;339;15.69
2640;109;351;15.68
2640;81;338;15.67
2640;129;355;15.66
2689;112;352;15.65
2689;64;342;15.65
2691;125;358;15.66
2691;106;361;15.66
2691;79;345;15.65
2741;135;350;15.65
2743;110;353;15.65
2743;63;346;15.64
2743;126;352;15.63
2804;112;354;15.61
2804;64;345;15.59
2804;160;351;15.57
2804;115;355;15.58
2804;66;348;15.58
2808;129;354;15.56
2852;117;356;15.55
2852;65;345;15.53
2854;128;350;15.52
2855;125;355;15.52
2900;74;350;15.52
2901;134;353;15.53
2902;112;353;15.53
2902;63;338;15.54
2904;123;351;15.55
2962;116;355;15.55
2962;61;347;15.55
2962;121;350;15.54
2962;142;355;15.55
2962;63;347;15.55
3010;140;357;15.54
3010;129;355;15.53
3010;86;360;15.53
3015;125;347;15.54
3015;133;359;15.54
3058;68;347;15.55
3059;127;350;15.56
3061;136;357;15.56
3061;67;346;15.56
3109;119;349;15.57
3109;142;361;15.58
3112;67;338;15.57
3112;127;345;15.56
3161;144;359;15.56
3161;63;351;15.58
3161;116;345;15.59
