timestamp (ms);EMG_Quadriceps (raw);ECG_Isquiotibiais (raw);Angulo_Relativo (graus)
973;103;346;13.79
981;104;354;13.78
983;58;345;13.78
985;98;345;13.78
985;107;352;13.78
988;58;347;13.79
989;96;348;13.79
992;106;354;13.78
994;62;347;13.78
996;102;342;13.8
996;112;356;13.81
996;57;348;13.81
996;86;346;13.81
996;98;347;13.79
996;54;343;13.76
996;83;342;13.71
1004;101;345;13.67
1006;74;352;13.65
1006;81;339;13.65
1008;99;353;13.64
1008;51;353;13.64
1010;80;343;13.63
1010;96;351;13.64
1012;58;344;13.67
1014;78;345;13.73
1014;96;350;13.81
1016;52;342;13.89
1016;76;343;13.97
1018;105;350;14.03
1018;57;345;14.09
1020;81;347;14.15
1022;112;352;14.2
1022;59;343;14.23
1024;81;342;14.26
1024;113;349;14.26
1026;62;345;14.25
1026;86;343;14.22
1028;128;348;14.21
1030;64;345;14.17
1030;87;343;14.15
1032;123;349;14.14
1032;55;346;14.15
1034;83;339;14.17
1034;128;348;14.22
1036;59;342;14.29
1036;80;338;14.39
1038;125;345;14.53
1038;79;338;14.67
1040;77;337;14.8
1040;131;345;14.89
1042;66;343;14.96
1042;81;338;15.03
1044;150;354;15.08
1044;71;341;15.14
1046;82;338;15.21
1046;144;347;15.33
1046;80;342;15.44
1046;85;338;15.54
1046;139;345;15.66
1046;76;342;15.79
1053;85;338;15.88
1055;139;342;15.93
1055;81;341;15.96
1057;87;337;15.96
1057;141;339;15.96
1059;80;339;15.93
1059;86;336;15.85
1061;141;342;15.69
1061;79;342;15.51
1061;83;340;15.31
1061;129;343;15.05
1061;80;339;14.72
1061;80;336;14.5
1067;141;343;14.2
1069;80;341;14.11
1070;75;336;14.07
1070;151;345;13.99
1070;82;341;13.81
1070;78;336;13.73
1074;153;346;13.6
1075;86;336;13.47
1075;83;335;13.34
1077;152;343;13.23
1079;90;341;13.11
1079;79;338;12.97
1079;144;345;12.85
1079;87;341;12.74
1083;69;337;12.62
1085;142;348;12.48
1086;83;347;12.33
1087;69;340;12.26
1087;129;349;12.32
1087;82;342;12.45
1087;58;342;12.62
1087;130;345;12.78
1092;79;344;12.93
1092;54;339;12.98
1094;126;347;13.04
1609;77;346;13.07
1609;57;339;13.11
1609;129;343;13.17
1609;80;345;13.24
1609;58;339;13.32
1609;129;347;13.42
1609;82;341;13.56
1609;71;346;13.66
1609;145;348;13.77
1609;64;346;13.89
1609;67;340;14.05
1616;148;346;14.18
1618;103;347;14.29
1618;49;339;14.35
1618;119;346;14.38
1618;80;347;14.38
1618;48;337;14.36
1618;112;348;14.35
1618;96;349;14.37
1618;48;350;14.42
1618;125;346;14.47
1618;84;348;14.52
1625;49;339;14.56
1626;123;349;14.58
1626;89;350;14.59
1626;54;345;14.59
1626;118;350;14.59
1626;96;353;14.58
1626;54;342;14.55
1626;113;349;14.52
1626;89;349;14.49
1626;54;345;14.48
1626;113;350;14.47
1626;86;350;14.47
1633;52;362;14.45
1633;112;347;14.42
1634;85;339;14.39
1634;53;342;14.34
1634;102;348;14.3
1634;89;350;14.26
1634;54;347;14.22
1634;104;337;14.22
1634;93;349;14.23
1634;57;348;14.24
1634;93;349;14.25
1641;93;350;14.25
1641;55;343;14.27
1643;103;350;14.29
1643;95;349;14.31
1682;59;345;14.35
1682;105;345;14.39
1684;101;351;14.42
1684;64;345;14.43
2213;106;331;14.43
2213;103;352;14.42
2213;58;343;14.4
2213;105;347;14.37
2213;99;350;14.33
2213;27;343;14.31
2213;93;348;14.29
2222;103;350;14.28
2223;62;346;14.3
2223;95;347;14.33
2225;102;347;14.37
2226;59;346;14.4
2226;89;349;14.4
2226;101;350;14.41
2228;61;343;14.41
2228;83;342;14.41
2230;97;350;14.4
2230;55;348;14.39
2230;84;346;14.41
2232;103;351;14.43
2232;59;343;14.45
2232;85;349;14.46
2234;107;349;14.46
2234;58;347;14.43
2234;83;349;14.39
2236;107;350;14.34
2236;64;346;14.3
2236;79;342;14.29
2238;104;351;14.29
2238;63;346;14.31
2240;82;347;14.35
2241;109;351;14.38
2241;64;347;14.41
2241;82;343;14.42
2241;112;351;14.41
2241;64;343;14.39
2241;83;349;14.35
2246;112;354;14.31
2246;64;347;14.27
2246;80;346;14.26
2246;97;350;14.24
2246;65;348;14.23
2246;74;347;14.22
2246;112;351;14.22
2246;64;348;14.22
2246;73;344;14.23
2246;113;351;14.23
2246;64;342;14.22
2246;73;343;14.22
2254;110;349;14.22
2254;64;346;14.2
2520;67;345;14.19
2520;112;350;14.18
2520;64;349;14.16
2520;73;343;14.14
2520;115;349;14.12
2522;66;348;14.1
2522;69;345;14.09
2522;116;353;14.08
2522;67;347;14.08
2522;72;345;14.08
2522;115;350;14.1
2525;65;347;14.11
2525;70;350;14.13
2525;112;355;14.15
2525;64;350;14.16
2527;65;345;14.17
2527;115;349;14.17
2527;64;344;14.17
2527;64;343;14.17
2527;112;351;14.16
2529;64;349;14.17
2529;65;345;14.18
2529;118;349;14.19
2529;80;345;14.2
2529;65;350;14.21
2561;115;347;14.22
2561;80;350;14.23
2591;77;342;14.24
2592;122;352;14.24
2592;68;346;14.24
2624;64;342;14.25
2626;122;354;14.24
2626;72;347;14.22
2659;58;343;14.22
2659;118;347;14.22
2659;74;349;14.21
2691;55;343;14.22
2691;128;351;14.22
2693;75;345;14.23
2728;66;346;14.23
2730;120;348;14.25
2730;74;349;14.25
2731;58;346;14.25
2783;120;347;14.25
2783;69;346;14.24
2783;52;342;14.23
2785;119;348;14.22
2785;78;345;14.2
2830;55;342;14.18
2830;124;365;14.17
2830;82;347;14.18
2830;58;341;14.18
2885;118;350;14.18
2885;82;351;14.19
2885;59;345;14.2
2885;122;347;14.21
2885;78;349;14.22
2943;50;345;14.23
2945;112;349;14.23
2945;80;350;14.23
2945;51;347;14.22
2947;122;347;14.22
3000;79;351;14.22
3000;48;343;14.22
3000;112;346;14.21
3003;80;357;14.21
3003;67;353;14.22
3059;129;347;14.22
3059;80;345;14.22
3059;62;340;14.22
3059;114;346;14.21
3059;89;350;14.19
3109;55;343;14.21
3109;114;347;14.23
3109;79;340;14.27
3109;53;343;14.3
3113;116;350;14.29
3159;90;349;14.26
3159;50;343;14.23
3161;102;349;14.18
3161;94;352;14.14
3207;57;343;14.11
3210;102;350;14.08
3210;79;344;14.04
3210;41;343;14.01
3210;91;348;13.98
3258;91;349;13.94
3258;52;343;13.9
3262;73;342;13.88
3262;80;346;13.87
3309;54;345;13.86
3309;62;347;13.85
3311;98;352;13.86
3311;56;346;13.86
3311;118;347;13.87
3363;97;350;13.88
3363;59;335;13.89
3363;117;346;13.9
3365;97;349;13.92
3366;57;342;13.92
3412;109;346;13.93
3412;97;349;13.94
3412;75;353;13.95
3412;144;346;13.96
3465;116;355;13.95
3465;59;343;13.95
3465;103;347;13.94
3465;108;351;13.94
3468;53;341;13.94
3517;64;346;13.95
3517;104;361;13.96
3517;57;346;13.95
3517;101;341;13.93
3563;106;350;13.9
3563;55;346;13.89
3563;100;345;13.89
3563;109;351;13.89
3567;62;346;13.91
3619;95;346;13.92
3619;112;349;13.93
3619;62;345;13.91
3621;95;346;13.89
3668;110;351;13.86
3668;60;346;13.85
3670;90;344;13.85
